FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame type by frame stock ,Unit/strip,Lead frame,Process
F30044,5.0,290.59,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,,
F30044,5.0,290.59,XHC16E114006AAN,1.6X1.4,GQFN,,3300.0,,
F70022,5.0,232.75,TQ-258E258B014C,2.58X2.58,QFN,Copper,1575.0,CU,
F70022,5.0,232.75,TQ-258E258B014N,2.58X2.58,QFN,Copper,1575.0,CU,
F70023,4.0,314.11,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,PPF,
F70023,4.0,314.11,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,PPF,
F70023,4.0,314.11,EQ-300E400Z021W,3X4,QFN,Selective PPF,910.0,PPF,
F70029,3.0,248.98,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,Selective PPF,
F70034,3.0,498.65,EQ-200E300B014M,3X2,QFN,Selective PPF,1710.0,Selective PPF,
FA0133,3.0,168.86,NH-50E150024SAJ,5X5,GQFN,,440.0,,
FA0133,3.0,168.86,NH-50E150024SAN,5X5,GQFN,,440.0,,
FA0133,3.0,168.86,NHC50E150024SAN,5X5,GQFN,,440.0,,
FA0142,3.0,232.65,MH-40E140015DAJ,4X4,GQFN,,700.0,,
FA0142,3.0,232.65,MH-40E140015DAN,4X4,GQFN,,700.0,,
FA0142,3.0,232.65,MH-40E140020DAN,4X4,GQFN,,640.0,,
FA0180,3.0,150.73,HH-90E190064TAN,9X9,GQFN,,120.0,,
FA0180,3.0,150.73,HH-90S290064TAJ,9X9,GQFN,,120.0,,
FA0180,3.0,150.73,HH-90S290064TAN,9X9,GQFN,,120.0,,
FA0180,3.0,150.73,HH-90S290064TIN,9X9,GQFN,,120.0,,
FA0180,3.0,150.73,MH-90S290064BIN,9X9,GQFN,,120.0,,
FA0212,3.0,161.69,HHC50M260016TAJ,5X6,GQFN,,315.0,,
FA0212,3.0,161.69,HHC50M260016TAN,5X6,GQFN,,315.0,,
FN0059,3.0,274.1,UQ-170X200A012D,2X1.7,QFN,0,1596.0,0,
FN0059,3.0,274.1,UQ-170X200A012P,2X1.7,QFN,0,1596.0,0,
FN0115,3.0,207.8,UQ-180E320A020P,1.8X3.2,QFN,Full PPF,1700.0,Full PPF,
FN0115,3.0,207.8,UQ-180X320A020D,3.2X1.8,QFN,Full PPF,936.0,Full PPF,
FN0115,3.0,207.8,UQ-180X320A020P,3.2X1.8,QFN,Full PPF,936.0,Full PPF,
FR0022,5.0,220.82,NQ-300E3001016A,3X3,SLP,,1170.0,,Full Cut
FR0022,5.0,220.82,NQ-300E300B016A,3X3,QFN,Copper,1170.0,CU,
FR0022,5.0,220.82,NQ-300E300B016K,3X3,QFN,Copper,1170.0,CU,
FR0022,5.0,220.82,NQC300E3001016A,3X3,SLP,,1170.0,,Full Cut
FR0022,5.0,220.82,NQC300E300B016A,3X3,QFN,Copper,1170.0,CU,
FR0022,5.0,220.82,NQC300E300B016K,3X3,QFN,Copper,1170.0,CU,
FR0022,5.0,220.82,TQ-300E300B016A,3X3,QFN,Copper,1170.0,CU,
FR0022,5.0,220.82,TQC300E300B016A,3X3,QFN,Copper,1170.0,CU,
FR0035,5.0,214.74,NQ-600E600A048A,6X6,QFN,Copper,315.0,CU,
FR0035,5.0,214.74,NQ-600E600A048K,6X6,QFN,Copper,315.0,CU,
FR0035,5.0,214.74,NQ-600S600A048A,6X6,QFN,Copper,315.0,CU,
FR0035,5.0,214.74,TQ-600E600A048A,6X6,QFN,Copper,315.0,CU,
FR0044,5.0,164.22,NQ-500E5001032A,5X5,SLP,,440.0,,Full Cut
FR0044,5.0,164.22,NQ-500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,NQ-500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,NQ-500E500X032A,5X5,SFS,,440.0,,
FR0044,5.0,164.22,NQ-500E500X032K,5X5,SFS,,440.0,,
FR0044,5.0,164.22,NQ-500M500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,NQC500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,NQC500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQ-500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQ-500E500B032E,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQ-500M500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQ-500S500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQC500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQC500E500B032E,5X5,QFN,Copper,440.0,CU,
FR0044,5.0,164.22,TQC500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0110,5.0,155.64,NQ-800E800B052A,8X8,QFN,0,175.0,CU,
FR0110,5.0,155.64,NQ-800E800B052K,8X8,QFN,0,175.0,CU,
FR0110,5.0,155.64,NQC800E800B052A,8X8,QFN,0,175.0,CU,
FR0147,5.0,196.07,NQ-700E700B048A,7X7,QFN,Copper,240.0,CU,
FR0147,5.0,196.07,NQ-700M700B048A,7X7,QFN,Copper,240.0,CU,
FR0147,5.0,196.07,NQC700E700B048K,7X7,QFN,Copper,240.0,CU,
FR0147,5.0,196.07,TQ-700E700B048A,7X7,QFN,Copper,240.0,CU,
FR0147,5.0,196.07,TQC700E700B048A,7X7,QFN,Copper,240.0,CU,
FR0153,5.0,149.33,NQ-700E700B048A,7X7,QFN,Copper,240.0,CU,
FR0153,5.0,149.33,NQ-700S700B048A,7X7,QFN,Copper,240.0,CU,
FR0153,5.0,149.33,NQC700E700B048A,7X7,QFN,Copper,240.0,CU,
FR0153,5.0,149.33,NQC700E700B048K,7X7,QFN,Copper,240.0,CU,
FR0158,5.0,160.76,NQ-900E900B064A,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,NQ-900E900B064E,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,NQC900E9001064A,9X9,SLP,,120.0,,Full Cut
FR0158,5.0,160.76,NQC900E900B064A,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,TQ-900E900B064A,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,TQ-900E900B064K,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,TQ-900M900B064A,9X9,QFN,0,120.0,CU,
FR0158,5.0,160.76,TQC900M900B064K,9X9,QFN,0,120.0,CU,
FR0250,5.0,180.51,NQ-700E7001056A,7X7,SLP,,240.0,,Full Cut
FR0250,5.0,180.51,NQ-700E700A056A,7X7,QFN,Copper,240.0,CU,
FR0250,5.0,180.51,NQC700E7001056A,7X7,SLP,,240.0,,Full Cut
FR0250,5.0,180.51,NQC700E700A056A,7X7,QFN,Copper,240.0,CU,
FR0250,5.0,180.51,NQC700E700A056K,7X7,QFN,Copper,240.0,CU,
FR0250,5.0,180.51,TQ-700E700A056A,7X7,QFN,Copper,240.0,CU,
FR0306,5.0,261.59,NQ-400E400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,NQ-400M400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,NQ-400M400B024K,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,NQ-400S400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,NQC400E400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,TQ-400E400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,TQC400E400B024A,4X4,QFN,Copper,700.0,CU,
FR0306,5.0,261.59,TQC400E400B024K,4X4,QFN,Copper,700.0,CU,
FR0309,5.0,177.59,NQ-600E600B040A,6X6,QFN,Copper,315.0,CU,
FR0309,5.0,177.59,NQ-600E600B040K,6X6,QFN,Copper,315.0,CU,
FR0345,3.0,443.96,ND-200E300B008P,3X2,QFN,0,1690.0,0,
FR0345,3.0,443.96,TD-200E300B008A,3X2,QFN,0,1690.0,0,
FR0345,3.0,443.96,TD-200E300B008D,3X2,QFN,0,1690.0,0,
FR0345,3.0,443.96,TD-200E300B008P,3X2,QFN,0,1690.0,0,
FR0345,3.0,443.96,TD-200S300B008D,3X2,QFN,0,1690.0,0,
FR0345,3.0,443.96,TD-200S300B008P,3X2,QFN,0,1690.0,0,
FR0366,5.0,343.83,ND-200E200B008A,2X2,QFN,Copper,2470.0,CU,
FR0366,5.0,343.83,ND-200E200B008K,2X2,QFN,Copper,2470.0,CU,
FR0366,5.0,343.83,ND-200M200B008A,2X2,QFN,Copper,2470.0,CU,
FR0366,5.0,343.83,NDC200E200B008A,2X2,QFN,Copper,2470.0,CU,
FR0366,5.0,343.83,NDC200E200B008K,2X2,QFN,Copper,2470.0,CU,
FR0366,5.0,343.83,TDC200E200B008A,2X2,QFN,Copper,2470.0,CU,
FR0370,5.0,169.63,NQ-400E500B028A,5X4,QFN,0,550.0,CU,
FR0370,5.0,169.63,TQ-400E500B028A,5X4,QFN,0,550.0,CU,
FR0370,5.0,169.63,TQ-400E500B028K,4X5,QFN,0,550.0,CU,
FR0370,5.0,169.63,TQ-400S500B028A,5X4,QFN,0,550.0,CU,
FR0370,5.0,169.63,TQC400E500B028K,4X5,QFN,0,550.0,CU,
FR0383,5.0,128.27,TQ-900E900B064A,9X9,QFN,0,120.0,CU,
FR0383,5.0,128.27,TQ-900E900B064K,9X9,QFN,0,120.0,CU,
FR0383,5.0,128.27,TQ-900M900B064A,9X9,QFN,0,120.0,CU,
FR0383,5.0,128.27,TQ-900M900B064K,9X9,QFN,0,120.0,CU,
FR0437,5.0,201.15,TQ-500E700B038A,7X5,QFN,Copper,320.0,CU,
FR0437,5.0,201.15,TQ-500E700B038K,5X7,QFN,Copper,320.0,CU,
FR0437,5.0,201.15,TQ-500M700B038A,7X5,QFN,Copper,320.0,CU,
FR0437,5.0,201.15,TQC500E700B038A,7X5,QFN,Copper,320.0,CU,
FR0437,5.0,201.15,TQC500E700B038K,7X5,QFN,Copper,320.0,CU,
FR0445,5.0,148.59,NQ-600E600A048A,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,NQ-600M600A048A,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,NQC600E600A048A,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,NQC600S600A048A,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,NQC600S600A048K,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,TQ-600E600A048A,6X6,QFN,Copper,315.0,CU,
FR0445,5.0,148.59,TQ-600S600A048A,6X6,QFN,Copper,315.0,CU,
FR0450,5.0,129.12,NQ-900E900B064A,9X9,QFN,0,120.0,CU,
FR0453,3.0,351.65,TD-250S200Z004D,2.5X2.2,QFN,0,1995.0,0,
FR0453,3.0,351.65,TD-250S200Z004P,2X2.5,QFN,0,1995.0,0,
FR0475,3.0,150.39,NQ-750E750A064P,7.5X7.5,QFN,0,175.0,0,
FR0475,3.0,150.39,TQ-750E750A064P,7.5X7.5,QFN,0,175.0,0,
FR0483,3.0,498.8,ND-150E150B006P,1.5X1.5,QFN,Full PPF,4080.0,Full PPF,
FR0483,3.0,498.8,TD-150E150B006P,1.5X1.5,QFN,Full PPF,4080.0,Full PPF,
FR0497,3.0,367.13,NQ-350E350Z015F,3.5X3.5,QFN,Selective PPF,880.0,Selective PPF,
FR0497,3.0,367.13,NQ-350E350Z015M,3.5X3.5,QFN,Selective PPF,880.0,Selective PPF,
FR0506,3.0,260.0,MQ-400E400A032A,4X4,QFN,Copper,700.0,Copper,
FR0506,3.0,260.0,MQ-400S400A032A,4X4,QFN,Copper,700.0,Copper,
FR0506,3.0,260.0,NQ-400E400A032A,4X4,QFN,Copper,700.0,Copper,
FR0506,3.0,260.0,NQC400E400A032A,4X4,QFN,Copper,700.0,Copper,
FR0506,3.0,260.0,NQC400E400A032K,4X4,QFN,Copper,700.0,Copper,
FR0506,3.0,260.0,TQ-400E400A032A,4X4,QFN,Copper,700.0,Copper,
FR0517,5.0,242.1,NQ-400E750B036A,7.5X4,QFN,Copper,350.0,CU,
FR0518,3.0,478.02,TD-200E200B008D,2X2,QFN,0,2470.0,0,
FR0518,3.0,478.02,TD-200E200B008P,2X2,QFN,0,2470.0,0,
FR0520,3.0,269.63,TQ-300E300B016D,3X3,QFN,Copper,1824.0,Copper,
FR0520,3.0,269.63,TQ-300E300B016P,3X3,QFN,Copper,1170.0,Copper,
FR0532,5.0,148.11,MQ-900E900B064A,9X9,QFN,Copper,120.0,CU,
FR0532,5.0,148.11,NQ-900E900B064A,9X9,QFN,Copper,120.0,CU,
FR0532,5.0,148.11,NQ-900E900B064K,9X9,QFN,Copper,120.0,CU,
FR0574,3.0,177.28,ND-500E600G008D,6X5,QFN,0,385.0,0,
FR0574,3.0,177.28,ND-500E600G008P,6X5,QFN,0,385.0,0,
FR0598,5.0,181.12,NDC600E800G008A,8X6,QFN,Copper,225.0,CU,
FR0598,5.0,181.12,TD-600E800G008A,8X6,QFN,Copper,225.0,CU,
FR0598,5.0,181.12,TDC600E800G008A,8X6,QFN,Copper,225.0,CU,
FR0598,5.0,181.12,TDC600E800G008K,8X6,QFN,Copper,225.0,CU,
FR0624,3.0,167.95,NQ-800E800B056D,8X8,QFN,0,175.0,0,
FR0624,3.0,167.95,NQ-800E800B056P,8X8,QFN,0,175.0,0,
FR0624,3.0,167.95,NQC800E800B056P,8X8,QFN,0,175.0,0,
FR0624,3.0,167.95,TQ-800E800B056P,8X8,QFN,0,175.0,0,
FR0643,5.0,167.93,NQ-500E5001032A,5X5,SLP,,440.0,,Full Cut
FR0643,5.0,167.93,NQ-500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQ-500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQ-500E500B032U,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQ-500S500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQ-500S500X032A,5X5,SFS,,440.0,,
FR0643,5.0,167.93,NQC500E5001032A,5X5,SLP,,440.0,,Full Cut
FR0643,5.0,167.93,NQC500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQC500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,NQC500E500B032U,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,TQ-500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,TQ-500E500X032A,5X5,SFS,,440.0,,
FR0643,5.0,167.93,TQ-500M500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,TQC500E500B032A,5X5,QFN,Copper,440.0,CU,
FR0643,5.0,167.93,TQC500E500B032K,5X5,QFN,Copper,440.0,CU,
FR0695,3.0,331.12,ND-280E160D004A,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,ND-280E160D004K,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,ND-280Z160D004A,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDC280E160D004K,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDE280E160D004A,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDE280E160D004K,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDF280E160D004A,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDF280E160D004K,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0695,3.0,331.12,NDG280E160D004K,1.6X2.8,QFN,Copper,2300.0,Copper,
FR0736,3.0,134.05,MQC900S900B064D,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0736,3.0,134.05,NQ-900E900B064D,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0736,3.0,134.05,NQ-900E900B064P,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0736,3.0,134.05,NQC900E900B064D,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0736,3.0,134.05,NQC900E900B064P,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0736,3.0,134.05,TQC900E900B064P,9X9,QFN,Selective PPF,120.0,Selective PPF,
FR0737,3.0,330.55,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,Full PPF,
FR0737,3.0,330.55,TD-200E200C006P,2X2,QFN,Full PPF,2470.0,Full PPF,
FR0737,3.0,330.55,TDC200E200C006D,2X2,QFN,Full PPF,2470.0,Full PPF,
FR0737,3.0,330.55,TDC200E200C006P,2X2,QFN,Full PPF,2470.0,Full PPF,
FR0738,3.0,167.01,NQ-700E700B048D,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQ-700E700B048P,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQ-700M700B048D,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQ-700M700B048P,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQC700E700B048B,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQC700E700B048D,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,NQC700E700B048P,7X7,QFN,Full PPF,240.0,Full PPF,
FR0738,3.0,167.01,TQC700E700B048P,7X7,QFN,Full PPF,240.0,Full PPF,
FR0752,1.0,458.35,TD-200E200M008A,2X2,QFN,0,2470.0,0,
FR0752,1.0,458.35,TD-200E200M008K,2X2,QFN,0,2470.0,0,
FR0752,1.0,458.35,TD-200E200M008P,2X2,QFN,0,2470.0,0,
FR0773,5.0,233.0,ND-400E3001012A,3X4,SLP,,910.0,,Full Cut
FR0773,5.0,233.0,ND-400E300B012A,3X4,QFN,Copper,910.0,CU,
FR0773,5.0,233.0,NDC400E3001012A,3X4,SLP,,910.0,,Full Cut
FR0773,5.0,233.0,NDC400E3001012K,3X4,SLP,,910.0,,Full Cut
FR0773,5.0,233.0,NDC400E300B012A,3X4,QFN,Copper,910.0,CU,
FR0773,5.0,233.0,NDC400E300B012K,3X4,QFN,Copper,910.0,CU,
FR0784,3.0,255.39,MQ-300S300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,MQC300S300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,NQ-300E300B016D,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,NQ-300E300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,NQC300E300B016D,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,NQC300E300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,TQ-300E300B016D,3X3,QFN,Full PPF,1824.0,Full PPF,
FR0784,3.0,255.39,TQ-300E300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,TQC300E300B016D,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0784,3.0,255.39,TQC300E300B016P,3X3,QFN,Full PPF,1170.0,Full PPF,
FR0785,5.0,218.11,MQ-400E4001024A,4X4,SLP,,700.0,,Full Cut
FR0785,5.0,218.11,MQ-400E4001024K,4X4,SLP,,700.0,,Full Cut
FR0785,5.0,218.11,NQ-400E4001024A,4X4,SLP,,700.0,,Full Cut
FR0785,5.0,218.11,NQ-400E4001024K,4X4,SLP,,700.0,,Full Cut
FR0785,5.0,218.11,NQ-400E400B024A,4X4,QFN,Copper,700.0,CU,
FR0785,5.0,218.11,NQ-400E400X024A,4X4,SFS,,700.0,,
FR0785,5.0,218.11,NQ-400E400X024K,4X4,SFS,,700.0,,
FR0785,5.0,218.11,NQC400E4001024A,4X4,SLP,,700.0,,Full Cut
FR0806,5.0,130.31,NQ-900E900B064A,9X9,QFN,0,120.0,CU,
